timestamp_ms,over,ball,bowler_id,batsman_id,pitch_acquire_ms,pitch_release_ms,outcome,runs,commentary
1774461740024.551,20,2,22,6,1774461740021.544,1774461740024.993,•,0,"Over 20.2  Quinton de Kock  •"
1774461740038.093,20,3,22,6,1774461740035.244,1774461740038.529,1,1,"Over 20.3  Quinton de Kock  1"
1774461740038.093,20,3,22,6,1774461740048.792,1774461741064.531,1,1,"Over 20.3  Quinton de Kock  1"
1774461740038.093,20,3,22,6,1774461741074.697,1774461742087.217,1,1,"Over 20.3  Quinton de Kock  1"
1774461740038.093,20,3,22,6,1774461742097.331,1774461743112.477,1,1,"Over 20.3  Quinton de Kock  1"
1774461743182.955,1,1,2,21,1774461743182.916,1774461743183.374,2,2,"Over 1.1  Sanju Samson     2"
1774461743196.466,1,2,2,21,1774461743193.507,1774461743196.880,•,0,"Over 1.2  Sanju Samson     •"
1774461743209.986,1,3,2,21,1774461743207.106,1774461743210.679,2,2,"Over 1.3  Sanju Samson     2"
1774461743223.860,1,4,2,21,1774461743220.937,1774461743224.390,4,4,"Over 1.4  Sanju Samson     4"
1774461743237.512,1,5,2,21,1774461743234.648,1774461743237.970,W(B),0,"Over 1.5  Sanju Samson     W(B)"
1774461743237.512,1,5,2,21,1774461743248.217,1774461743251.130,W(B),0,"Over 1.5  Sanju Samson     W(B)"
1774461743304.972,2,1,3,22,1774461743304.911,1774461743305.325,2,2,"Over 2.1  Ruturaj Gaikwad  2"
1774461743318.458,2,2,3,22,1774461743315.470,1774461743318.813,W(L),0,"Over 2.2  Ruturaj Gaikwad  W(L)"
1774461743318.458,2,2,3,22,1774461743329.054,1774461743331.932,W(L),0,"Over 2.2  Ruturaj Gaikwad  W(L)"
1774461743318.458,2,2,3,22,1774461743342.201,1774461744344.582,W(L),0,"Over 2.2  Ruturaj Gaikwad  W(L)"
1774461743318.458,2,2,3,22,1774461744355.100,1774461745357.693,W(L),0,"Over 2.2  Ruturaj Gaikwad  W(L)"
1774461743318.458,2,2,3,22,1774461745367.898,1774461746370.004,W(L),0,"Over 2.2  Ruturaj Gaikwad  W(L)"
1774461743318.458,2,2,4,22,1774461746424.704,1774461747426.302,W(L),0,"Over 2.2  Ruturaj Gaikwad  W(L)"
1774461743318.458,2,2,4,22,1774461747436.406,1774461748437.918,W(L),0,"Over 2.2  Ruturaj Gaikwad  W(L)"
1774461743318.458,2,2,4,22,1774461748448.026,1774461749448.964,W(L),0,"Over 2.2  Ruturaj Gaikwad  W(L)"
1774461743318.458,2,2,4,22,1774461749459.085,1774461750460.380,W(L),0,"Over 2.2  Ruturaj Gaikwad  W(L)"
1774461743318.458,2,2,4,22,1774461750470.525,1774461751471.575,W(L),0,"Over 2.2  Ruturaj Gaikwad  W(L)"
1774461743318.458,2,2,4,22,1774461751481.792,1774461752482.723,W(L),0,"Over 2.2  Ruturaj Gaikwad  W(L)"
1774461752536.580,4,1,5,23,1774461752536.528,1774461752536.893,1,1,"Over 4.1  Dewald Brevis    1"
1774461752536.580,4,1,5,23,1774461752546.996,1774461753550.450,1,1,"Over 4.1  Dewald Brevis    1"
1774461752536.580,4,1,5,23,1774461753560.588,1774461754563.601,1,1,"Over 4.1  Dewald Brevis    1"
1774461752536.580,4,1,5,23,1774461754573.778,1774461755576.906,1,1,"Over 4.1  Dewald Brevis    1"
1774461752536.580,4,1,5,23,1774461755587.016,1774461756590.011,1,1,"Over 4.1  Dewald Brevis    1"
1774461752536.580,4,1,5,23,1774461756600.156,1774461757603.395,1,1,"Over 4.1  Dewald Brevis    1"
1774461757657.429,5,1,6,23,1774461757657.374,1774461757657.769,4,4,"Over 5.1  Dewald Brevis    4"
1774461757671.007,5,2,6,23,1774461757667.889,1774461757671.456,•,0,"Over 5.2  Dewald Brevis    •"
1774461757684.575,5,3,6,23,1774461757681.728,1774461757685.010,•,0,"Over 5.3  Dewald Brevis    •"
1774461757698.087,5,4,6,23,1774461757695.256,1774461757698.544,W(C),0,"Over 5.4  Dewald Brevis    W(C)"
1774461757698.087,5,4,6,23,1774461757708.795,1774461757711.688,W(C),0,"Over 5.4  Dewald Brevis    W(C)"
1774461757698.087,5,4,6,23,1774461757721.948,1774461758722.996,W(C),0,"Over 5.4  Dewald Brevis    W(C)"
1774461757698.087,5,4,1,23,1774461758777.521,1774461759779.350,W(C),0,"Over 5.4  Dewald Brevis    W(C)"
1774461757698.087,5,4,1,23,1774461759789.495,1774461760791.296,W(C),0,"Over 5.4  Dewald Brevis    W(C)"
1774461757698.087,5,4,1,23,1774461760801.462,1774461761803.092,W(C),0,"Over 5.4  Dewald Brevis    W(C)"
1774461757698.087,5,4,1,23,1774461761813.250,1774461762814.617,W(C),0,"Over 5.4  Dewald Brevis    W(C)"
1774461757698.087,5,4,1,23,1774461762824.758,1774461763826.023,W(C),0,"Over 5.4  Dewald Brevis    W(C)"
1774461757698.087,5,4,1,23,1774461763836.171,1774461764838.082,W(C),0,"Over 5.4  Dewald Brevis    W(C)"
1774461764892.269,7,1,2,24,1774461764892.224,1774461764892.535,4,4,"Over 7.1  Shivam Dube      4"
1774461764905.680,7,2,2,24,1774461764902.644,1774461764906.239,1,1,"Over 7.2  Shivam Dube      1"
1774461764905.680,7,2,2,24,1774461764916.550,1774461765929.235,1,1,"Over 7.2  Shivam Dube      1"
